replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
63,0.015427281796265097,0.0025966185057277047,0.018468007933944014,0.0004441076319512127,0.062480908990472095,0.0,0.062480908990472095,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
64,0.010792184442557307,0.00020030828616540708,0.011185364135676598,0.0001928714069538845,0.054102625912537006,0.0,0.054102625912537006,0.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,0.0,0.0,0.0,0.0,False
65,0.008914546127863701,0.0019507182736423975,0.011610386551059601,0.0007451221495535024,0.0683341886838521,0.0,0.0683341886838521,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
66,0.004731876274706101,0.0001241748709120971,0.004960757716414299,0.0001047065707961009,0.022772010022132305,0.0,0.022772010022132305,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
67,0.0234581695767863,0.002087412806177996,0.026173662943866707,0.0006280805609024109,0.08148973115925823,0.0,0.08148973115925823,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
68,0.017073744715433797,0.0422211583001981,0.06276815396468588,0.0034732509490539853,0.0622216249136015,0.0,0.0622216249136015,0.0,0.0,270.0,270.0,0.0,0.0,270.0,270.0,0.0,0.0,0.0,0.0,0.0,False
69,0.015070780604956924,0.019315029205955014,0.03565784574838951,0.0012720359374775725,0.044151938752018505,0.0,0.044151938752018505,0.0,10.0,130.0,130.0,-10.0,10.0,130.0,130.0,-10.0,0.0,0.0,0.0,0.0,False
70,0.010526288171886306,0.0050593920218179045,0.016426157239864403,0.0008404770461601929,0.055040060481140185,0.0,0.055040060481140185,0.0,10.0,50.0,60.0,0.0,10.0,50.0,60.0,0.0,0.0,0.0,0.0,0.0,False
71,0.0174928730870845,0.011925568262540515,0.030832846133171915,0.001414404783546902,0.07770002686608046,0.0,0.07770002686608046,0.0,0.0,90.0,100.0,10.0,0.0,90.0,100.0,10.0,0.0,0.0,0.0,0.0,False
72,0.0098802295563356,0.0006922452812556032,0.0107448369168155,0.00017236207922429608,0.13349532594149033,0.0,0.13349532594149033,0.0,10.0,10.0,20.0,0.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,False
73,0.006967054854663909,0.0035191899774589114,0.01116741291434721,0.0006811680822243898,0.036026601444873296,0.0,0.036026601444873296,0.0,0.0,40.0,40.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,False
74,0.009728925047442397,0.00019604289877120373,0.009968259815477096,4.3291869263495375e-05,0.06989235443030484,0.0,0.06989235443030484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
75,0.012639956198430197,0.010344355919063991,0.02405755482884389,0.0010732427113497034,0.003567804895091009,0.0,0.003567804895091009,0.0,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,False
76,0.02745487127994739,0.015095243900910688,0.04525870464664189,0.0027085894657838117,0.0886573691275957,0.0,0.0886573691275957,0.0,0.0,100.0,110.0,10.0,0.0,100.0,110.0,10.0,0.0,0.0,0.0,0.0,False
77,0.0054945153709743955,0.0023763144817006976,0.008538858602304591,0.0006680287496294984,0.0165571315561005,0.0,0.0165571315561005,0.0,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,False
78,0.014183909773759523,0.006900264103585602,0.02255706686058631,0.0014728929832411863,0.04013947039717847,0.0,0.04013947039717847,0.0,0.0,60.0,70.0,10.0,0.0,60.0,70.0,10.0,0.0,0.0,0.0,0.0,False
79,0.0074814397445363,0.003431153854645097,0.011685949061018497,0.0007733554618370997,0.010337655685000502,0.0,0.010337655685000502,0.0,0.0,50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,False
80,0.014950264065194313,0.007052863895900013,0.02309701272846021,0.0010938847673658825,0.013464042546383004,0.0,0.013464042546383004,0.0,0.0,50.0,60.0,10.0,0.0,50.0,60.0,10.0,0.0,0.0,0.0,0.0,False
81,0.019891544739315092,0.010019682830893106,0.031331582358470694,0.0014203547882624956,0.08005929442163995,0.0,0.08005929442163995,0.0,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,False
82,0.0185456058099345,0.0014525481790829964,0.02062322891928861,0.0006250749302711134,0.08334521035561648,0.0,0.08334521035561648,0.0,10.0,20.0,30.0,0.0,10.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,False
83,0.009120054029959593,0.0030770311498174996,0.012464520014816696,0.00026743483503960386,0.009676385311572333,0.0,0.009676385311572333,0.0,10.0,40.0,40.0,-10.0,10.0,40.0,40.0,-10.0,0.0,0.0,0.0,0.0,False
84,0.009029212842615604,1.2819277108395977e-05,0.009124517737057102,8.24856173331015e-05,0.04815199914186813,0.0,0.04815199914186813,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,False
85,0.003855071977732598,0.001837871426213701,0.0060634519581569055,0.0003705085542106065,0.008332971383560317,0.0,0.008332971383560317,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,False
86,0.0049428814039119,0.0037634946735592006,0.009225518990444007,0.0005191429129729058,0.007486233415903876,0.0,0.007486233415903876,0.0,0.0,40.0,50.0,10.0,0.0,40.0,50.0,10.0,0.0,0.0,0.0,0.0,False
87,0.004567967950697693,0.0010037118437044024,0.0056536826362886955,8.200284188659979e-05,0.009005527890615705,0.0,0.009005527890615705,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
