R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,replication,psi_prop,psi_rec
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.2,1.0,0.2,1.0,1,0.2,0.2
0.9134023186728395,0.0865976813271605,0.5555,0.4445,51.0,230.0,False,876.0,0.0,1.0,10,operational,0.2,1.0,0.2,1.0,1,0.2,0.2
0.9087722010030864,0.09122779899691358,0.5199999999999999,0.4800000000000001,44.0,258.0,False,876.0,0.0,1.0,01,operational,0.2,1.0,0.2,1.0,1,0.2,0.2
0.8778009085648147,0.12219909143518526,0.5555,0.4445,51.0,,True,876.0,1.0,0.9649999999999999,11,operational,0.2,1.0,0.2,1.0,1,0.2,0.2
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.4,0.2,0.4,0.2,1,0.08000000000000002,0.08000000000000002
0.9172194002700617,0.08278059972993834,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,10,operational,0.4,0.2,0.4,0.2,1,0.08000000000000002,0.08000000000000002
0.9172910567210851,0.08270894327891487,0.5199999999999999,0.4800000000000001,44.0,234.0,False,876.0,0.0,1.0,01,operational,0.4,0.2,0.4,0.2,1,0.08000000000000002,0.08000000000000002
0.9150955234790318,0.08490447652096822,0.5199999999999999,0.4800000000000001,44.0,234.0,False,876.0,0.0,1.0,11,operational,0.4,0.2,0.4,0.2,1,0.08000000000000002,0.08000000000000002
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.4,0.4,0.4,0.4,1,0.16000000000000003,0.16000000000000003
0.9139526199845679,0.0860473800154321,0.5400375,0.45996250000000005,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.4,0.4,0.4,0.4,1,0.16000000000000003,0.16000000000000003
0.9150767924382716,0.08492320756172844,0.5199999999999999,0.4800000000000001,44.0,239.0,False,876.0,0.0,1.0,01,operational,0.4,0.4,0.4,0.4,1,0.16000000000000003,0.16000000000000003
0.908489860866152,0.09151013913384798,0.5400375,0.45996250000000005,56.0,241.0,False,876.0,0.0,1.0,11,operational,0.4,0.4,0.4,0.4,1,0.16000000000000003,0.16000000000000003
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,0.4,0.6,0.4,0.6,1,0.24,0.24
0.9107127876157407,0.0892872123842593,0.5710249999999999,0.42897500000000005,56.0,230.0,False,876.0,0.0,1.0,10,operational,0.4,0.6,0.4,0.6,1,0.24,0.24
0.9119911354166668,0.08800886458333324,0.5199999999999999,0.4800000000000001,44.0,245.0,False,876.0,0.0,1.0,01,operational,0.4,0.6,0.4,0.6,1,0.24,0.24
