replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,psi_prop,psi_rec
11,0.0013119499999999507,0.0087612069444446,0.010166502645230557,9.334570078600724e-05,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
12,0.0017127777777777853,0.00035884320987655816,0.0021014243916928077,2.9803404038464265e-05,0.010000000000000009,0.0,0.010000000000000009,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
13,0.003189953703703674,0.004415555555555506,0.007856506306927358,0.00025099704766817776,0.013000000000000012,0.0,0.013000000000000012,0.0,0.0,8.0,8.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
14,0.00331195833333342,0.006644229629629739,0.010949796594595496,0.0009936086316323367,0.027000000000000024,0.0,0.027000000000000024,0.0,0.0,14.0,15.0,1.0,0.0,14.0,15.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
0,0.0019000777777778977,0.001996147168803475,0.003983885411814159,8.766046523278614e-05,0.013999999999999901,0.0,0.013999999999999901,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
1,0.0022121358024692617,0.003965327160493914,0.006534000274046381,0.00035653731108320486,0.0,0.0,0.0,0.0,0.0,8.0,9.0,1.0,0.0,8.0,9.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
2,0.0027730555555556258,0.00023786002694303754,0.003166769911174927,0.0001558543286762637,0.019999999999999907,0.0,0.019999999999999907,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
3,0.0015226791666667072,0.00039312370370370164,0.0020349691817963533,0.00011916631142594447,0.0030000000000000027,0.0,0.0030000000000000027,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
4,0.0012607022222220765,0.0007727438626997651,0.002077506715682409,4.406063076056732e-05,0.006999999999999895,0.0,0.006999999999999895,0.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
5,0.0012645242592592698,0.00036402043715833,0.00195457050860659,0.0003260258121889903,0.013999999999999901,0.0,0.013999999999999901,0.0,0.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.4,0.2,0.4,1,0.08000000000000002,0.08000000000000002
