q_prop,kappa_prop,q_rec,kappa_rec,seed_design,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.4,0.4,0.4,0.4,2,0.0037560697911522686,0.0035300850443722885,0.0077971764395922275,0.0005110216040676703,0.015498333333333317,0.0,0.015498333333333317,0.0,0.0,7.2,8.133333333333333,0.9333333333333333,0.0,7.2,8.133333333333333,0.9333333333333333,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.4,0.4,0.4,0.4,3,0.0035967205519547314,0.003982718760244208,0.008149882148153206,0.0005704428359542657,0.013831666666666687,0.0,0.013831666666666687,0.0,0.06666666666666667,8.466666666666667,9.4,0.8666666666666667,0.06666666666666667,8.466666666666667,9.4,0.8666666666666667,0.0,0.0,0.0,0.0,0.16000000000000003,0.16000000000000003
0.4,0.6,0.4,0.6,0,0.00631079092052469,0.006831066369578472,0.01665424879698328,0.003512391506880119,0.036063333333333315,0.0,0.036063333333333315,0.0,0.13333333333333333,14.266666666666667,20.466666666666665,6.066666666666666,0.13333333333333333,14.266666666666667,20.466666666666665,6.066666666666666,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.6,0.4,0.6,1,0.006596210692129649,0.005922505290696837,0.015135450153290727,0.002616734170464241,0.03544208333333333,0.0,0.03544208333333333,0.0,0.13333333333333333,12.8,17.4,4.466666666666667,0.13333333333333333,12.8,17.4,4.466666666666667,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.6,0.4,0.6,2,0.00611449976774688,0.006419865131273765,0.01397860290261228,0.0014442380035916357,0.03588416666666664,0.0,0.03588416666666664,0.0,0.06666666666666667,13.133333333333333,15.466666666666667,2.2666666666666666,0.06666666666666667,13.133333333333333,15.466666666666667,2.2666666666666666,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.6,0.4,0.6,3,0.005885715608024696,0.007236858782810448,0.014772437988863563,0.001649863598028419,0.03298124999999999,0.0,0.03298124999999999,0.0,0.06666666666666667,15.133333333333333,17.733333333333334,2.533333333333333,0.06666666666666667,15.133333333333333,17.733333333333334,2.533333333333333,0.0,0.0,0.0,0.0,0.24,0.24
0.4,0.8,0.4,0.8,0,0.008744147539094657,0.00973207185440846,0.06494392507090531,0.04646770567740219,0.04974666666666667,0.0,0.04974666666666667,0.0,0.4,20.733333333333334,10.5,4.5,0.4,20.733333333333334,564.0,542.8666666666667,0.0,0.0,0.8666666666666667,0.8666666666666667,0.32000000000000006,0.32000000000000006
0.4,0.8,0.4,0.8,1,0.009111038638888869,0.00880908585996958,0.05327314098982822,0.03535301649096977,0.04934666666666667,0.0,0.04934666666666667,0.0,0.4,19.066666666666666,14.0,1.3333333333333333,0.4,19.066666666666666,515.4666666666667,496.0,0.0,0.0,0.8,0.8,0.32000000000000006,0.32000000000000006
0.4,0.8,0.4,0.8,2,0.008463476310699583,0.009277417029992734,0.03697496827682872,0.0192340749361364,0.04997333333333332,0.0,0.04997333333333332,0.0,0.3333333333333333,19.6,15.0,1.6666666666666667,0.3333333333333333,19.6,255.26666666666668,235.33333333333334,0.0,0.0,0.4,0.4,0.32000000000000006,0.32000000000000006
0.4,0.8,0.4,0.8,3,0.008166083156378583,0.01050758279848866,0.03702037276451244,0.0183467068096452,0.04621333333333335,0.0,0.04621333333333335,0.0,0.13333333333333333,22.6,13.714285714285714,2.857142857142857,0.13333333333333333,22.6,338.4,315.6666666666667,0.0,0.0,0.5333333333333333,0.5333333333333333,0.32000000000000006,0.32000000000000006
0.4,1.0,0.4,1.0,0,0.011179538301183145,0.009774630983056466,0.10113627532080634,0.08018210603656675,0.06308124999999995,0.0,0.06308124999999995,0.0,0.4666666666666667,24.333333333333332,,,0.4666666666666667,24.333333333333332,658.3333333333334,633.5333333333333,0.0,0.0,1.0,1.0,0.4,0.4
0.4,1.0,0.4,1.0,1,0.011629495636574071,0.008637867003808797,0.07741867102337939,0.05715130838299653,0.06221249999999997,0.0,0.06221249999999997,0.0,0.4666666666666667,22.6,12.5,0.0,0.4666666666666667,22.6,561.4666666666667,538.4,0.0,0.0,0.8666666666666667,0.8666666666666667,0.4,0.4
