R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,kappa_prop,kappa_rec
0.9399726561947682,0.0600273438052317,0.3798691887653961,0.6201308112346039,360.0,860.0,False,3760.0,0.0,0.9999999999999992,10,operational,192,10,0.4,0.4
0.946402660903167,0.0535973390968329,0.3348726442005597,0.6651273557994403,360.0,860.0,False,3760.0,0.0,0.9999999999999992,01,operational,192,1,0.4,0.4
0.9391982662584248,0.0608017337415752,0.3798691887653961,0.6201308112346039,360.0,870.0,False,3760.0,0.0,0.9999999999999992,11,operational,192,11,0.4,0.4
0.9013436980657528,0.0986563019342472,0.6916793730337041,0.3083206269662958,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0,0.4,0.4
0.8944291314552336,0.1055708685447663,0.7577910033086347,0.2422089966913653,360.0,1100.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,10,0.4,0.4
0.8985185657978251,0.1014814342021749,0.6916793730337041,0.3083206269662958,360.0,1140.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,1,0.4,0.4
0.8912242074143911,0.1087757925856088,0.7577910033086347,0.2422089966913653,360.0,1140.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,11,0.4,0.4
0.912615971340304,0.087384028659696,0.4960847562086058,0.5039152437913942,360.0,1000.0,False,3760.0,0.0,0.9999999999999992,00,operational,9,0,0.4,0.4
0.909351087068134,0.090648912931866,0.504187115412567,0.495812884587433,360.0,1000.0,False,3760.0,0.0,0.9999999999999992,10,operational,9,10,0.4,0.4
0.9106132715745096,0.0893867284254904,0.4960847562086058,0.5039152437913942,360.0,1020.0,False,3760.0,0.0,0.9999999999999992,01,operational,9,1,0.4,0.4
0.9068916704545442,0.0931083295454557,0.504187115412567,0.495812884587433,360.0,1030.0,False,3760.0,0.0,0.9999999999999992,11,operational,9,11,0.4,0.4
0.9712204321473212,0.0287795678526787,0.3553525592485848,0.6446474407514152,360.0,560.0,False,3760.0,0.0,0.9999999999999992,00,operational,17,0,0.4,0.4
0.9611703625052176,0.0388296374947823,0.4832689873347641,0.5167310126652359,360.0,560.0,False,3760.0,0.0,0.9999999999999992,10,operational,17,10,0.4,0.4
0.9706186581843588,0.0293813418156411,0.3553525592485848,0.6446474407514152,360.0,570.0,False,3760.0,0.0,0.9999999999999992,01,operational,17,1,0.4,0.4
0.9577838491781752,0.0422161508218248,0.4832689873347641,0.5167310126652359,360.0,610.0,False,3760.0,0.0,0.9999999999999992,11,operational,17,11,0.4,0.4
0.9103287497391253,0.0896712502608748,0.6730886215056311,0.3269113784943689,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,00,operational,25,0,0.4,0.4
0.9034254222618472,0.0965745777381528,0.7050353093638841,0.2949646906361158,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,10,operational,25,10,0.4,0.4
0.9039043314530698,0.0960956685469301,0.6730886215056311,0.3269113784943689,360.0,1110.0,False,3760.0,0.0,0.9999999999999992,01,operational,25,1,0.4,0.4
0.8955326863432818,0.1044673136567182,0.7050353093638841,0.2949646906361158,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,11,operational,25,11,0.4,0.4
0.9077641837402696,0.0922358162597304,0.6162043995203934,0.3837956004796065,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,00,operational,33,0,0.4,0.4
0.9048985124927724,0.0951014875072275,0.6380702229803534,0.3619297770196465,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,10,operational,33,10,0.4,0.4
