R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,design_seed
0.8619258679176546,0.1380741320823454,0.6425654942667409,0.357434505733259,360.0,1320.0,False,3760.0,0.0,0.9999999999999992,10,operational,96,10,0
0.8782997117160816,0.1217002882839184,0.5778928055774117,0.4221071944225882,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,01,operational,96,1,0
0.8548887791474843,0.1451112208525157,0.6425654942667409,0.357434505733259,360.0,1410.0,False,3760.0,0.0,0.9999999999999992,11,operational,96,11,0
0.850757915313436,0.1492420846865639,0.7750366746214051,0.2249633253785949,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,00,operational,2,0,0
0.8421099083073857,0.1578900916926142,0.8123674851011937,0.1876325148988063,360.0,1380.0,False,3760.0,0.0,0.9999999999999992,10,operational,2,10,0
0.8396851213455333,0.1603148786544667,0.7750366746214051,0.2249633253785949,360.0,1570.0,False,3760.0,0.0,0.9999999999999992,01,operational,2,1,0
0.8303538683755072,0.1696461316244928,0.8123674851011937,0.1876325148988063,360.0,1600.0,False,3760.0,0.0,0.9999999999999992,11,operational,2,11,0
0.9742705067553444,0.0257294932446556,0.3347184799889622,0.6652815200110378,360.0,450.0,False,3760.0,0.0,0.9999999999999992,00,operational,7,0,0
0.9722755934551048,0.0277244065448951,0.3480216738089928,0.6519783261910072,360.0,450.0,False,3760.0,0.0,0.9999999999999992,10,operational,7,10,0
0.9739431142404458,0.0260568857595542,0.3347184799889622,0.6652815200110378,360.0,450.0,False,3760.0,0.0,0.9999999999999992,01,operational,7,1,0
0.9712867697857888,0.0287132302142111,0.3480216738089928,0.6519783261910072,360.0,470.0,False,3760.0,0.0,0.9999999999999992,11,operational,7,11,0
0.8776760787065233,0.1223239212934766,0.759853628380748,0.240146371619252,360.0,1260.0,False,3760.0,0.0,0.9999999999999992,00,operational,12,0,0
0.8641274889144795,0.1358725110855204,0.8220731477881001,0.1779268522118998,360.0,1260.0,False,3760.0,0.0,0.9999999999999992,10,operational,12,10,0
0.8643904873474316,0.1356095126525683,0.759853628380748,0.240146371619252,360.0,1430.0,False,3760.0,0.0,0.9999999999999992,01,operational,12,1,0
0.8506889103307655,0.1493110896692344,0.8220731477881001,0.1779268522118998,360.0,1460.0,False,3760.0,0.0,0.9999999999999992,11,operational,12,11,0
0.9712204321473212,0.0287795678526787,0.3553525592485848,0.6446474407514152,360.0,560.0,False,3760.0,0.0,0.9999999999999992,00,operational,17,0,0
0.9502563326332696,0.0497436673667305,0.616983012114143,0.383016987885857,360.0,570.0,False,3760.0,0.0,0.9999999999999992,10,operational,17,10,0
0.970185032047599,0.029814967952401,0.3553525592485848,0.6446474407514152,360.0,590.0,False,3760.0,0.0,0.9999999999999992,01,operational,17,1,0
0.8175229489310777,0.1824770510689223,0.616983012114143,0.383016987885857,360.0,,True,3760.0,1.0,0.8435994411819693,11,operational,17,11,0
0.9436554194224148,0.0563445805775852,0.4361134079288097,0.5638865920711903,360.0,760.0,False,3760.0,0.0,0.9999999999999992,00,operational,22,0,0
0.9380440231048291,0.0619559768951708,0.44678574631177,0.55321425368823,360.0,770.0,False,3760.0,0.0,0.9999999999999992,10,operational,22,10,0
0.9430251385600644,0.0569748614399354,0.4361134079288097,0.5638865920711903,360.0,790.0,False,3760.0,0.0,0.9999999999999992,01,operational,22,1,0
0.9358599676595926,0.0641400323404074,0.44678574631177,0.55321425368823,360.0,810.0,False,3760.0,0.0,0.9999999999999992,11,operational,22,11,0
0.9440572878070772,0.0559427121929227,0.4217699396217549,0.5782300603782451,360.0,800.0,False,3760.0,0.0,0.9999999999999992,00,operational,27,0,0
0.9397291708557576,0.0602708291442425,0.4501633397725013,0.5498366602274987,360.0,800.0,False,3760.0,0.0,0.9999999999999992,10,operational,27,10,0
0.9403937762633972,0.0596062237366027,0.4217699396217549,0.5782300603782451,360.0,850.0,False,3760.0,0.0,0.9999999999999992,01,operational,27,1,0
