R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,seed_hazard,q_prop,kappa_prop,q_rec,kappa_rec,psi_prop,psi_rec,frac_damaged
0.9325222545556612,0.06747774544433882,0.4520908596428298,0.5479091403571702,360.0,850.0,False,3760.0,0.0,0.9999999999999994,11,operational,24,24,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9102973673680812,0.0897026326319188,0.6733680094857724,0.3266319905142276,360.0,1050.0,False,3760.0,0.0,0.9999999999999994,00,operational,25,25,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.8970996257345057,0.10290037426549425,0.7321022770269425,0.2678977229730575,360.0,1050.0,False,3760.0,0.0,0.9999999999999994,10,operational,25,25,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.8972944476223411,0.10270555237765888,0.6733680094857724,0.3266319905142276,360.0,1210.0,False,3760.0,0.0,0.9999999999999994,01,operational,25,25,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.7776800455722774,0.22231995442772257,0.7321022770269425,0.2678977229730575,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,25,25,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.8194624058689074,0.1805375941310926,0.5434046317993824,0.45659536820061764,360.0,1770.0,False,3760.0,0.0,0.9999999999999994,00,operational,26,26,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.8095849639346437,0.19041503606535626,0.5541345245527527,0.44586547544724736,360.0,1770.0,False,3760.0,0.0,0.9999999999999994,10,operational,26,26,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.7983664635192548,0.20163353648074522,0.5434046317993824,0.45659536820061764,360.0,1940.0,False,3760.0,0.0,0.9999999999999994,01,operational,26,26,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.726215705470961,0.27378429452903896,0.5541345245527527,0.44586547544724736,360.0,,True,3760.0,1.0,0.8442278472286915,11,operational,26,26,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.9440347811173502,0.055965218882649825,0.42176912768096286,0.5782308723190371,360.0,800.0,False,3760.0,0.0,0.9999999999999994,00,operational,27,27,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.9397251560788457,0.06027484392115434,0.45021110565764355,0.5497888943423564,360.0,800.0,False,3760.0,0.0,0.9999999999999994,10,operational,27,27,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
0.9403793524195394,0.059620647580460595,0.42176912768096286,0.5782308723190371,360.0,850.0,False,3760.0,0.0,0.9999999999999994,01,operational,27,27,0.5,0.8,0.5,0.8,0.4,0.4,0.38596491228070173
