R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check
0.9821871225293672,0.0178128774706328,0.4259910827956042,0.5740089172043957,360.0,2810.0,False,34760.0,0.0,0.9999999999999976,11,operational,61,11
0.9592850616979808,0.0407149383020192,0.7876565042282779,0.212343495771722,360.0,3510.0,False,34760.0,0.0,0.9999999999999976,00,operational,81,0
0.9581946708576334,0.0418053291423665,0.8100473460550532,0.1899526539449468,360.0,3510.0,False,34760.0,0.0,0.9999999999999976,10,operational,81,10
0.946548597245918,0.0534514027540821,0.7876565042282779,0.212343495771722,360.0,4340.0,False,34760.0,0.0,0.9999999999999976,01,operational,81,1
0.0648573392273939,0.935142660772606,0.8100473460550532,0.1899526539449468,360.0,,True,34760.0,1.0,0.0573586490545674,11,operational,81,11
0.9834847396366796,0.0165152603633205,0.6211610546220666,0.3788389453779334,360.0,1780.0,False,34760.0,0.0,0.9999999999999976,00,operational,101,0
0.9821844960407358,0.0178155039592642,0.6734382995229895,0.3265617004770104,360.0,1780.0,False,34760.0,0.0,0.9999999999999976,10,operational,101,10
0.9826352437031984,0.0173647562968014,0.6211610546220666,0.3788389453779334,360.0,1960.0,False,34760.0,0.0,0.9999999999999976,01,operational,101,1
0.98061456823635,0.0193854317636499,0.6734382995229895,0.3265617004770104,360.0,1970.0,False,34760.0,0.0,0.9999999999999976,11,operational,101,11
0.9800110378006934,0.0199889621993065,0.401046218151965,0.5989537818480349,360.0,2760.0,False,34760.0,0.0,0.9999999999999976,00,operational,121,0
0.9773460157071976,0.0226539842928024,0.46413235436908,0.5358676456309199,360.0,2760.0,False,34760.0,0.0,0.9999999999999976,10,operational,121,10
0.9748167977773168,0.0251832022226831,0.401046218151965,0.5989537818480349,360.0,3620.0,False,34760.0,0.0,0.9999999999999976,01,operational,121,1
0.8725686692258846,0.1274313307741154,0.46413235436908,0.5358676456309199,360.0,,True,34760.0,1.0,0.8893731202250903,11,operational,121,11
0.9577096203606148,0.042290379639385,0.7459212964178621,0.2540787035821379,360.0,3570.0,False,34760.0,0.0,0.9999999999999976,00,operational,141,0
0.9552338318142208,0.0447661681857791,0.7837358120640139,0.2162641879359861,360.0,3570.0,False,34760.0,0.0,0.9999999999999976,10,operational,141,10
0.9520793183781224,0.0479206816218776,0.7459212964178621,0.2540787035821379,360.0,4550.0,False,34760.0,0.0,0.9999999999999976,01,operational,141,1
0.942074290394876,0.0579257096051238,0.7837358120640139,0.2162641879359861,360.0,4340.0,False,34760.0,0.0,0.9999999999999976,11,operational,141,11
0.9303978854644408,0.0696021145355592,0.7030557142067582,0.2969442857932419,360.0,5500.0,False,34760.0,0.0,0.9999999999999976,00,operational,161,0
0.9285725203754776,0.0714274796245224,0.7083374873028507,0.2916625126971492,360.0,5500.0,False,34760.0,0.0,0.9999999999999976,10,operational,161,10
0.9245231475287328,0.0754768524712671,0.7030557142067582,0.2969442857932419,360.0,7520.0,False,34760.0,0.0,0.9999999999999976,01,operational,161,1
0.7988683260176563,0.2011316739823436,0.7083374873028507,0.2916625126971492,360.0,,True,34760.0,1.0,0.8461534867332533,11,operational,161,11
0.9909532141146628,0.0090467858853371,0.3705164649438662,0.6294835350561337,360.0,1350.0,False,34760.0,0.0,0.9999999999999976,00,operational,181,0
0.9903241658884884,0.0096758341115117,0.4183143028552374,0.5816856971447626,360.0,1350.0,False,34760.0,0.0,0.9999999999999976,10,operational,181,10
0.9896557724182884,0.0103442275817114,0.3705164649438662,0.6294835350561337,360.0,1640.0,False,34760.0,0.0,0.9999999999999976,01,operational,181,1
0.9270828183780768,0.0729171816219232,0.4183143028552374,0.5816856971447626,360.0,,True,34760.0,1.0,0.93592348784348,11,operational,181,11
0.9785569975278112,0.0214430024721888,0.6230672862217694,0.3769327137782306,360.0,2500.0,False,34760.0,0.0,0.9999999999999976,00,operational,2,0
0.9773946371465038,0.0226053628534962,0.6504028151922738,0.3495971848077262,360.0,2500.0,False,34760.0,0.0,0.9999999999999976,10,operational,2,10
0.9749654760869422,0.0250345239130578,0.6230672862217694,0.3769327137782306,360.0,3010.0,False,34760.0,0.0,0.9999999999999976,01,operational,2,1
0.9741347026959616,0.0258652973040383,0.6504028151922738,0.3495971848077262,360.0,3040.0,False,34760.0,0.0,0.9999999999999976,11,operational,2,11
0.9803208941927724,0.0196791058072275,0.5972536278193474,0.4027463721806526,360.0,2340.0,False,34760.0,0.0,0.9999999999999976,00,operational,22,0
0.978614694564775,0.0213853054352249,0.6720515482899538,0.3279484517100461,360.0,2340.0,False,34760.0,0.0,0.9999999999999976,10,operational,22,10
0.9780909582385294,0.0219090417614705,0.5972536278193474,0.4027463721806526,360.0,2640.0,False,34760.0,0.0,0.9999999999999976,01,operational,22,1
0.9772568162671702,0.0227431837328297,0.6720515482899538,0.3279484517100461,360.0,2660.0,False,34760.0,0.0,0.9999999999999976,11,operational,22,11
