replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
82,0.003984808382813204,0.0662598731226122,0.04183795934583032,-0.028406722159595083,0.014776885491815661,0.0,0.014776885491815661,0.0,0.0,1360.0,930.0,-430.0,0.0,1360.0,930.0,-430.0,0.0,0.0,0.0,0.0,False
83,0.0035316173064261977,0.0012473167585436984,0.005361031768161599,0.000582097703191703,0.01980828166120152,0.0,0.01980828166120152,0.0,0.0,80.0,90.0,10.0,0.0,80.0,90.0,10.0,0.0,0.0,0.0,0.0,False
84,0.005206358622183202,0.0187843442213078,0.01415643545541781,-0.009834267388073192,0.04434218959856229,0.0,0.04434218959856229,0.0,0.0,450.0,420.0,-30.0,0.0,450.0,420.0,-30.0,0.0,0.0,0.0,0.0,False
85,0.0,0.0013095166467333996,0.0013095166467333996,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0,False
86,0.005259140440163693,0.004870781530548193,0.061001164875566685,0.0508712429048548,0.016865552872799117,0.0,0.016865552872799117,0.0,0.0,330.0,,,0.0,330.0,4700.0,4370.0,0.0,0.0,1.0,1.0,True
87,0.0023603154731303005,0.012730202413291092,0.058816967572281484,0.04372644968586009,0.005327480669571005,0.0,0.005327480669571005,0.0,0.0,400.0,,,0.0,400.0,4790.0,4390.0,0.0,0.0,1.0,1.0,True
88,0.00019347408870210026,0.011928868133666302,0.0130334950010201,0.0009111527786516971,0.0052959206937779335,0.0,0.0052959206937779335,0.0,0.0,300.0,300.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,False
89,0.0081652623244024,0.0118840508085587,0.015982562649792198,-0.004066750483168902,0.026736817341388552,0.0,0.026736817341388552,0.0,0.0,1180.0,1180.0,0.0,0.0,1180.0,1180.0,0.0,0.0,0.0,0.0,0.0,False
90,0.0090210707661047,0.01058155913505679,0.016633376126433494,-0.002969253774727995,0.0376894831185664,0.0,0.0376894831185664,0.0,0.0,450.0,440.0,-10.0,0.0,450.0,440.0,-10.0,0.0,0.0,0.0,0.0,False
91,0.005084137111982301,0.03612511318661771,0.10405651195666141,0.0628472616580614,0.02746077287938742,0.0,0.02746077287938742,0.0,0.0,850.0,430.0,-420.0,0.0,850.0,430.0,-420.0,0.0,0.0,0.0,0.0,False
92,0.0016437215834712027,0.002101891555032799,0.0035937767883041996,-0.00015183635019980213,0.0526144427212632,0.0,0.0526144427212632,0.0,0.0,130.0,130.0,0.0,0.0,130.0,130.0,0.0,0.0,0.0,0.0,0.0,False
93,0.008108425939945901,0.018331452637974005,0.03130012294696721,0.004860244369047306,0.0470220942795071,0.0,0.0470220942795071,0.0,0.0,860.0,850.0,-10.0,0.0,860.0,850.0,-10.0,0.0,0.0,0.0,0.0,False
94,0.007349879669354797,0.05409655480509651,0.029982857928939205,-0.0314635765455121,0.01888066252972509,0.0,0.01888066252972509,0.0,0.0,1080.0,790.0,-290.0,0.0,1080.0,790.0,-290.0,0.0,0.0,0.0,0.0,False
