R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,arm_check,loss_T1750,loss_T3500,loss_T5250,loss_T7000,loss_T8750,loss_T10500,loss_T12250,loss_T14000
0.9697175856856604,0.0302824143143395,0.6916793730337041,0.3083206269662958,360.0,1210.0,False,13760.0,0.0,0.9999999999999992,01,operational,1,1,0.2422593144940162,0.1211296572573567,0.080753104838238,0.0605648286286785,0.048451862902943,0.0403765524191191,0.0346084735021023,0.0302824143143395
0.9662890409097896,0.0337109590902104,0.8029932044514004,0.1970067955485995,360.0,1220.0,False,13760.0,0.0,0.9999999999999992,11,operational,1,11,0.2696876726804122,0.1348438363608401,0.0898958909072269,0.0674219181804203,0.0539375345443362,0.0449479454536138,0.0385268103888118,0.0337109590902104
0.988416216415308,0.0115837835846921,0.3689314686936427,0.6310685313063573,360.0,640.0,False,13760.0,0.0,0.9999999999999992,00,operational,31,0,0.0926702686775334,0.0463351343387671,0.0308900895591782,0.0231675671693838,0.0185340537355069,0.0154450447795894,0.0132386098110767,0.0115837835846921
0.9879155031626868,0.0120844968373131,0.3838884906750023,0.6161115093249977,360.0,640.0,False,13760.0,0.0,0.9999999999999992,10,operational,31,10,0.0966759746985018,0.0483379873492512,0.0322253248995008,0.0241689936746258,0.0193351949397007,0.0161126624497507,0.0138108535283578,0.0120844968373131
0.9883662271589608,0.0116337728410392,0.3689314686936427,0.6310685313063573,360.0,640.0,False,13760.0,0.0,0.9999999999999992,01,operational,31,1,0.0930701827283103,0.0465350913641554,0.0310233942427703,0.023267545682078,0.0186140365456624,0.0155116971213854,0.0132957403897591,0.0116337728410392
0.9877441180054396,0.0122558819945604,0.3838884906750023,0.6161115093249977,360.0,650.0,False,13760.0,0.0,0.9999999999999992,11,operational,31,11,0.0980470559564795,0.04902352797824,0.0326823519854934,0.0245117639891203,0.0196094111912963,0.0163411759927468,0.0140067222794976,0.0122558819945604
0.985807667046635,0.0141923329533649,0.405369341195413,0.594630658804587,360.0,760.0,False,13760.0,0.0,0.9999999999999992,00,operational,61,0,0.1135386636269164,0.0567693318134584,0.0378462212089725,0.0283846659067293,0.0227077327253835,0.0189231106044864,0.01621980908956,0.0141923329533649
0.9830193085969544,0.0169806914030454,0.4530615146739064,0.5469384853260936,360.0,760.0,False,13760.0,0.0,0.9999999999999992,10,operational,61,10,0.1358455312243598,0.0679227656121802,0.0452818437414535,0.0339613828060904,0.0271691062448723,0.022640921870727,0.0194065044606234,0.0169806914030454
0.9844938130875528,0.015506186912447,0.405369341195413,0.594630658804587,360.0,840.0,False,13760.0,0.0,0.9999999999999992,01,operational,61,1,0.1240494952995731,0.0620247476497868,0.0413498317665246,0.0310123738248936,0.0248098990599149,0.0206749158832625,0.017721356471368,0.015506186912447
0.8939738047571291,0.1060261952428709,0.4530615146739064,0.5469384853260936,360.0,,True,13760.0,1.0,0.9061811327489596,11,operational,61,11,0.1914774911856831,0.1426481792183619,0.1263717418959212,0.1182335232347012,0.113350592037969,0.110095304573481,0.1077700992417037,0.1060261952428709
